Year,State,County,State FIPS Code,County FIPS Code,Combined FIPS Code,Birth Rate,Lower Confidence Limit,Upper Confidence Limit
2003,Alabama,Autauga,1,1,1001,46.377215,40.683107,52.508481
2004,Alabama,Autauga,1,1,1001,46.050618,41.084735,51.340795
2005,Alabama,Autauga,1,1,1001,43.941062,39.513897,48.646647
2006,Alabama,Autauga,1,1,1001,43.826654,39.570766,48.345353
2007,Alabama,Autauga,1,1,1001,43.757806,39.573448,48.199268
2008,Alabama,Autauga,1,1,1001,42.169739,38.130402,46.458997
2009,Alabama,Autauga,1,1,1001,38.70931,34.932726,42.724053
2010,Alabama,Autauga,1,1,1001,34.948071,31.415432,38.714537
2011,Alabama,Autauga,1,1,1001,31.778155,28.437291,35.348937
2012,Alabama,Autauga,1,1,1001,30.197146,26.889883,33.738191
2013,Alabama,Autauga,1,1,1001,27.873782,24.638898,31.347759
2014,Alabama,Autauga,1,1,1001,25.653807,22.413857,29.156865
2015,Alabama,Autauga,1,1,1001,23.982563,20.576748,27.714187
2003,Alabama,Baldwin,1,3,1003,46.906284,42.757313,51.269543
2004,Alabama,Baldwin,1,3,1003,46.887848,43.302008,50.637666
2005,Alabama,Baldwin,1,3,1003,47.290569,43.847175,50.888176
2006,Alabama,Baldwin,1,3,1003,50.343271,46.793824,54.046465
2007,Alabama,Baldwin,1,3,1003,52.018982,48.413979,55.777041
2008,Alabama,Baldwin,1,3,1003,50.412586,46.903067,54.072165
2009,Alabama,Baldwin,1,3,1003,45.971712,42.693815,49.393917
2010,Alabama,Baldwin,1,3,1003,40.985363,37.964536,44.145606
2011,Alabama,Baldwin,1,3,1003,36.488924,33.713285,39.39767
2012,Alabama,Baldwin,1,3,1003,34.631538,31.939347,37.456092
2013,Alabama,Baldwin,1,3,1003,31.601545,29.066747,34.264783
2014,Alabama,Baldwin,1,3,1003,29.44759,26.941334,32.084685
2015,Alabama,Baldwin,1,3,1003,27.831022,25.09836,30.728315
2003,Alabama,Barbour,1,5,1005,68.888029,60.25157,78.186242
2004,Alabama,Barbour,1,5,1005,69.573479,61.778731,77.882782
2005,Alabama,Barbour,1,5,1005,70.587808,63.146478,78.501716
2006,Alabama,Barbour,1,5,1005,75.881743,68.16391,84.079952
2007,Alabama,Barbour,1,5,1005,78.351709,70.472655,86.719662
2008,Alabama,Barbour,1,5,1005,74.96934,67.312638,83.113486
2009,Alabama,Barbour,1,5,1005,69.394867,62.088675,77.184085
2010,Alabama,Barbour,1,5,1005,63.696908,56.724285,71.152702
2011,Alabama,Barbour,1,5,1005,58.306968,51.611049,65.490848
2012,Alabama,Barbour,1,5,1005,54.621422,48.014858,61.730668
2013,Alabama,Barbour,1,5,1005,48.596956,42.298771,55.412214
2014,Alabama,Barbour,1,5,1005,43.510051,37.375464,50.207043
2015,Alabama,Barbour,1,5,1005,39.621689,33.450112,46.448769
2003,Alabama,Bibb,1,7,1007,53.901773,45.908962,62.665906
2004,Alabama,Bibb,1,7,1007,52.05742,44.994685,59.720763
2005,Alabama,Bibb,1,7,1007,51.269178,44.738419,58.315809
2006,Alabama,Bibb,1,7,1007,54.271579,47.64723,61.396124
2007,Alabama,Bibb,1,7,1007,54.852025,48.292615,61.901139
2008,Alabama,Bibb,1,7,1007,54.186976,47.738289,61.118425
2009,Alabama,Bibb,1,7,1007,51.985855,45.737467,58.709088
2010,Alabama,Bibb,1,7,1007,48.949199,42.928225,55.441574
2011,Alabama,Bibb,1,7,1007,47.312082,41.295026,53.817851
2012,Alabama,Bibb,1,7,1007,46.5559,40.382686,53.251936
2013,Alabama,Bibb,1,7,1007,43.503044,37.401706,50.157259
2014,Alabama,Bibb,1,7,1007,40.407504,34.328884,47.09088
2015,Alabama,Bibb,1,7,1007,37.719905,31.533618,44.608138
2003,Alabama,Blount,1,9,1009,52.324792,46.217997,58.872986
2004,Alabama,Blount,1,9,1009,50.71495,45.440037,56.321894
2005,Alabama,Blount,1,9,1009,48.648254,43.860615,53.72984
2006,Alabama,Blount,1,9,1009,50.409784,45.61632,55.491713
2007,Alabama,Blount,1,9,1009,51.43671,46.628107,56.531189
2008,Alabama,Blount,1,9,1009,50.359262,45.654648,55.344246
2009,Alabama,Blount,1,9,1009,49.752959,45.069217,54.719552
2010,Alabama,Blount,1,9,1009,46.666653,42.190872,51.419776
2011,Alabama,Blount,1,9,1009,43.518331,39.218347,48.094129
2012,Alabama,Blount,1,9,1009,41.82307,37.551572,46.374576
2013,Alabama,Blount,1,9,1009,38.65749,34.504753,43.092802
2014,Alabama,Blount,1,9,1009,36.530201,32.304978,41.06194
2015,Alabama,Blount,1,9,1009,34.525199,30.036329,39.396549
2003,Alabama,Bullock,1,11,1011,81.357869,69.231872,94.611205
2004,Alabama,Bullock,1,11,1011,81.384736,70.204436,93.488006
2005,Alabama,Bullock,1,11,1011,80.707153,70.219798,92.004778
2006,Alabama,Bullock,1,11,1011,84.518545,73.960902,95.853307
2007,Alabama,Bullock,1,11,1011,87.4921,76.779571,98.973987
2008,Alabama,Bullock,1,11,1011,87.238163,76.504134,98.754265
2009,Alabama,Bullock,1,11,1011,83.644311,73.102206,94.981655
2010,Alabama,Bullock,1,11,1011,77.635287,67.422481,88.669479
2011,Alabama,Bullock,1,11,1011,72.103268,62.08821,82.989932
2012,Alabama,Bullock,1,11,1011,67.964801,58.038841,78.808868
2013,Alabama,Bullock,1,11,1011,61.391226,51.904226,71.823754
2014,Alabama,Bullock,1,11,1011,55.749582,46.548766,65.959682
2015,Alabama,Bullock,1,11,1011,51.103272,42.012405,61.318066
2003,Alabama,Butler,1,13,1013,68.688731,59.482211,78.660628
2004,Alabama,Butler,1,13,1013,65.882739,57.830462,74.525155
2005,Alabama,Butler,1,13,1013,63.370418,55.97968,71.283423
2006,Alabama,Butler,1,13,1013,66.487373,58.952331,74.546693
2007,Alabama,Butler,1,13,1013,67.032447,59.497131,75.092007
2008,Alabama,Butler,1,13,1013,65.814587,58.331278,73.830805
2009,Alabama,Butler,1,13,1013,62.90094,55.574653,70.766445
2010,Alabama,Butler,1,13,1013,57.111563,50.21966,64.533323
2011,Alabama,Butler,1,13,1013,53.188835,46.491091,60.427441
2012,Alabama,Butler,1,13,1013,50.079812,43.467196,57.252783
2013,Alabama,Butler,1,13,1013,44.971501,38.719594,51.783035
2014,Alabama,Butler,1,13,1013,41.54687,35.383349,48.30996
2015,Alabama,Butler,1,13,1013,37.601336,31.523716,44.352543
2003,Alabama,Calhoun,1,15,1015,55.116881,50.142486,60.353842
2004,Alabama,Calhoun,1,15,1015,53.773592,49.511986,58.23714
2005,Alabama,Calhoun,1,15,1015,52.132637,48.159015,56.29267
2006,Alabama,Calhoun,1,15,1015,53.490157,49.496426,57.667576
2007,Alabama,Calhoun,1,15,1015,54.287221,50.270005,58.487443
2008,Alabama,Calhoun,1,15,1015,52.860396,48.942578,56.957105
2009,Alabama,Calhoun,1,15,1015,50.108342,46.353682,54.036604
2010,Alabama,Calhoun,1,15,1015,47.104774,43.488817,50.894197
2011,Alabama,Calhoun,1,15,1015,45.314345,41.716667,49.09331
2012,Alabama,Calhoun,1,15,1015,42.551667,39.065073,46.219374
2013,Alabama,Calhoun,1,15,1015,38.718098,35.406447,42.209
2014,Alabama,Calhoun,1,15,1015,36.071259,32.765228,39.563653
2015,Alabama,Calhoun,1,15,1015,33.771022,30.217108,37.558371
2003,Alabama,Chambers,1,17,1017,76.084516,67.137272,85.667238
2004,Alabama,Chambers,1,17,1017,72.066145,64.420271,80.192024
2005,Alabama,Chambers,1,17,1017,69.309382,62.328227,76.718187
2006,Alabama,Chambers,1,17,1017,68.808189,62.048732,75.978099
2007,Alabama,Chambers,1,17,1017,70.107527,63.315818,77.308556
2008,Alabama,Chambers,1,17,1017,68.263467,61.628536,75.302143
2009,Alabama,Chambers,1,17,1017,64.868903,58.48099,71.652266
2010,Alabama,Chambers,1,17,1017,60.803876,54.674474,67.325837
2011,Alabama,Chambers,1,17,1017,57.844262,51.847364,64.236366
2012,Alabama,Chambers,1,17,1017,57.059381,50.943792,63.58703
2013,Alabama,Chambers,1,17,1017,54.130605,48.01735,60.673419
